Category,SourceSize,ImportedSize,MaxSize,HasAlpha,ImporterChanged,PackedBytes,Path
actor-atlas,1024x768,1024x768,2048,true,true,134408,Assets/Resources/SpriteGen/rescue_npc_ari/sprite-sheet-alpha.png
actor-atlas,1024x768,1024x768,2048,true,true,133296,Assets/Resources/SpriteGen/rescue_npc_sena/sprite-sheet-alpha.png
rift-choice,1254x1254,1024x1024,1024,true,true,132584,Assets/Resources/SpriteGen/rift_choice/recover.png
actor-atlas,1024x768,1024x768,2048,true,true,132312,Assets/Resources/SpriteGen/enemy_guardian/sprite-sheet-alpha.png
actor-atlas,1024x768,1024x768,2048,true,true,129204,Assets/Resources/SpriteGen/enemy_charger/sprite-sheet-alpha.png
actor-atlas,1024x1024,1024x1024,2048,true,true,126508,Assets/Resources/SpriteGen/void_lancer/sprite-sheet-alpha.png
actor-atlas,1024x768,1024x768,2048,true,true,115568,Assets/Resources/SpriteGen/companion_rift_wingman/sprite-sheet-alpha.png
actor-atlas,1024x768,1024x768,2048,true,true,110916,Assets/Resources/SpriteGen/enemy_sniper/sprite-sheet-alpha.png
actor-atlas,1024x768,1024x768,2048,true,true,108144,Assets/Resources/SpriteGen/rescue_npc_noa/sprite-sheet-alpha.png
actor-atlas,1024x768,1024x768,2048,true,true,99944,Assets/Resources/SpriteGen/rescue_npc_mina/sprite-sheet-alpha.png
backdrop,1672x941,1024x576,1024,false,true,98908,Assets/Resources/RelaunchArt/chapter_4_space_bg.png
backdrop,1672x941,1024x576,1024,false,true,98288,Assets/Resources/RelaunchArt/chapter_2_space_bg.png
actor-atlas,1024x768,1024x768,2048,true,true,95608,Assets/Resources/SpriteGen/rescue_npc_rook/sprite-sheet-alpha.png
backdrop,1672x941,1024x576,1024,false,true,95060,Assets/Resources/RelaunchArt/chapter_3_space_bg.png
backdrop,1672x941,1024x576,1024,false,true,93236,Assets/Resources/RelaunchArt/chapter_1_space_bg.png
backdrop,1672x941,1024x576,1024,false,true,88712,Assets/Resources/RelaunchArt/home_rift_command_space_bg_v6.png
actor-atlas,1024x768,1024x768,2048,true,true,86348,Assets/Resources/SpriteGen/companion_rail_drone/sprite-sheet-alpha.png
actor-atlas,1024x768,1024x768,2048,true,true,78612,Assets/Resources/SpriteGen/player_ship/sprite-sheet-alpha.png
backdrop,1672x941,1024x576,1024,true,true,65528,Assets/Resources/RelaunchArt/home_player_ship_keyart_v6.png
splash,2048x1152,1024x576,1024,false,true,63552,Assets/04_Images/Splash_Image.jpg
artifact-icon,512x512,512x512,512,true,true,63324,Assets/Resources/RelaunchArt/Artifacts/artifact_salvage_matrix.png
actor-atlas,1024x256,1024x256,2048,true,true,59632,Assets/Resources/SpriteGen/space_station_hub/sprite-sheet-alpha.png
artifact-icon,512x512,512x512,512,true,true,57560,Assets/Resources/RelaunchArt/Artifacts/artifact_chrono_prism.png
artifact-icon,512x512,512x512,512,true,true,57476,Assets/Resources/RelaunchArt/Artifacts/artifact_rift_catalyst.png
artifact-icon,512x512,512x512,512,true,true,55204,Assets/Resources/RelaunchArt/Artifacts/artifact_seal_bulwark.png
artifact-icon,512x512,512x512,512,true,true,53292,Assets/Resources/RelaunchArt/Artifacts/artifact_echo_reactor.png
artifact-icon,512x512,512x512,512,true,true,49092,Assets/Resources/RelaunchArt/Artifacts/artifact_void_compass.png
item-icon,1254x1254,512x512,512,true,true,43424,Assets/Resources/SpriteGen/items/rift_core.png
upgrade-icon,256x256,256x256,512,true,true,25056,Assets/Resources/SpriteGen/upgrades/repair_pulse.png
item-icon,1536x384,512x128,512,true,true,24096,Assets/Resources/SpriteGen/items/rift_reward_chest_open.png
upgrade-icon,256x256,256x256,512,true,true,21628,Assets/Resources/SpriteGen/upgrades/salvage_magnet.png
upgrade-icon,256x256,256x256,512,true,true,20828,Assets/Resources/SpriteGen/upgrades/companion_uplink.png
item-icon,256x256,256x256,512,true,true,20420,Assets/Resources/SpriteGen/items/gravity_bomb.png
actor-preview,256x256,256x256,512,true,true,20248,Assets/Resources/SpriteGen/companion_pulse_guard/frames/idle/frame-0.png
upgrade-icon,256x256,256x256,512,true,true,20084,Assets/Resources/SpriteGen/upgrades/phase_lens.png
item-icon,256x256,256x256,512,true,true,19232,Assets/Resources/SpriteGen/items/supply_cache.png
item-icon,256x256,256x256,512,true,true,19204,Assets/Resources/SpriteGen/items/research_data.png
upgrade-icon,256x256,256x256,512,true,true,18972,Assets/Resources/SpriteGen/upgrades/kinetic_plating.png
upgrade-icon,256x256,256x256,512,true,true,18348,Assets/Resources/SpriteGen/upgrades/conductive_coil.png
actor-preview,256x256,256x256,512,true,true,18188,Assets/Resources/SpriteGen/companion_prism_moth/frames/idle/frame-0.png
item-icon,256x256,256x256,512,true,true,18188,Assets/Resources/SpriteGen/items/part_energy_core.png
upgrade-icon,256x256,256x256,512,true,true,17992,Assets/Resources/SpriteGen/upgrades/supply_cache.png
upgrade-icon,256x256,256x256,512,true,true,17936,Assets/Resources/SpriteGen/upgrades/targeting_array.png
actor-preview,256x256,256x256,512,true,true,17852,Assets/Resources/SpriteGen/rift_warden/frames/idle/frame-0.png
upgrade-icon,256x256,256x256,512,true,true,17796,Assets/Resources/SpriteGen/upgrades/prism_emitter.png
item-icon,256x256,256x256,512,true,true,17648,Assets/Resources/SpriteGen/items/auto_aim_core.png
upgrade-icon,256x256,256x256,512,true,true,17464,Assets/Resources/SpriteGen/upgrades/nova_chamber.png
upgrade-icon,256x256,256x256,512,true,true,17176,Assets/Resources/SpriteGen/upgrades/gravity_core.png
item-icon,256x256,256x256,512,true,true,16952,Assets/Resources/SpriteGen/items/part_stabilizer.png
upgrade-icon,256x256,256x256,512,true,true,16872,Assets/Resources/SpriteGen/upgrades/weapon_core.png
upgrade-icon,256x256,256x256,512,true,true,16652,Assets/Resources/SpriteGen/upgrades/shield_matrix.png
item-icon,256x256,256x256,512,true,true,16536,Assets/Resources/SpriteGen/items/part_seal_frame.png
upgrade-icon,256x256,256x256,512,true,true,16536,Assets/Resources/SpriteGen/upgrades/overclock_relay.png
upgrade-icon,256x256,256x256,512,true,true,16496,Assets/Resources/SpriteGen/upgrades/flux_capacitor.png
actor-preview,256x256,256x256,512,true,true,16320,Assets/Resources/SpriteGen/enemy_rift_leech/frames/idle/frame-0.png
actor-preview,256x256,256x256,512,true,true,15752,Assets/Resources/SpriteGen/companion_bastion_orb/frames/idle/frame-0.png
actor-preview,256x256,256x256,512,true,true,15696,Assets/Resources/SpriteGen/enemy_parasite/frames/idle/frame-0.png
actor-preview,256x256,256x256,512,true,true,15620,Assets/Resources/SpriteGen/enemy_phase_wraith/frames/idle/frame-0.png
actor-preview,256x256,256x256,512,true,true,15372,Assets/Resources/SpriteGen/enemy_null_mine/frames/idle/frame-0.png
item-icon,256x256,256x256,512,true,true,15216,Assets/Resources/SpriteGen/items/repair_kit.png
actor-preview,256x256,256x256,512,true,true,15192,Assets/Resources/SpriteGen/enemy_charger/frames/idle/frame-0.png
actor-preview,256x256,256x256,512,true,true,14980,Assets/Resources/SpriteGen/enemy_guardian/frames/idle/frame-0.png
actor-preview,256x256,256x256,512,true,true,14508,Assets/Resources/SpriteGen/enemy_splitter/frames/idle/frame-0.png
item-icon,256x256,256x256,512,true,true,14288,Assets/Resources/SpriteGen/items/phase_shield.png
upgrade-icon,256x256,256x256,512,true,true,13928,Assets/Resources/SpriteGen/upgrades/rift_battery.png
item-icon,256x256,256x256,512,true,true,12812,Assets/Resources/SpriteGen/items/overdrive_cell.png
actor-preview,256x256,256x256,512,true,true,12084,Assets/Resources/SpriteGen/companion_rift_wingman/frames/idle/frame-0.png
item-icon,256x256,256x256,512,true,true,11396,Assets/Resources/SpriteGen/items/emp_charge.png
actor-preview,256x256,256x256,512,true,true,11276,Assets/Resources/SpriteGen/companion_echo_kite/frames/idle/frame-0.png
actor-preview,256x256,256x256,512,true,true,11116,Assets/Resources/SpriteGen/enemy_sniper/frames/idle/frame-0.png
actor-preview,256x256,256x256,512,true,true,10492,Assets/Resources/SpriteGen/companion_rail_drone/frames/idle/frame-0.png
item-icon,256x256,256x256,512,true,true,9652,Assets/Resources/SpriteGen/items/gold_coin.png
item-icon,256x256,256x256,512,true,true,9272,Assets/Resources/SpriteGen/items/ore_crystal.png
actor-preview,256x256,256x256,512,true,true,7908,Assets/Resources/SpriteGen/player_ship/frames/idle/frame-0.png
